pet_id,name,age,gender,size,status,date_arrived,adopted_date,type,breed,shelter_name,city,state,snapshot_date
16e1751b-cf44-4a20-979f-a25202088006,Pet_3434,7,Male,Small,Pending,2025-11-09,,Dog,Boxer,Forever Homes,SomeCity,SomeState,2025-12-31
90e9691f-2d0c-42d8-b89d-66020b725ef7,Pet_2021,12,Male,Medium,Available,2025-08-02,,Dog,Chihuahua,Happy Tails Shelter,SomeCity,SomeState,2025-12-31
7199f921-c1a8-469a-bf31-10b63b05d3ff,Pet_3791,6,Male,Medium,Adopted,2025-10-31,,Dog,Poodle,Safe Haven Animal Shelter,SomeCity,SomeState,2025-12-31
3dfa5600-aa4d-44f4-9be2-9aeaaa392345,Pet_5008,13,Female,Medium,Pending,2025-09-19,,Cat,Russian Blue,Happy Tails Shelter,SomeCity,SomeState,2025-12-31
e5d301f3-da28-405d-9aa7-cb7c8e41da4b,Pet_6079,15,Male,Small,Available,2025-11-06,,Cat,Persian,Happy Tails Shelter,SomeCity,SomeState,2025-12-31
c9164827-e8e1-4084-bb10-7bc1b618e44e,Pet_2977,6,Male,Small,Adopted,2025-11-19,,Dog,Shih Tzu,Forever Homes,SomeCity,SomeState,2025-12-31
b7ab7935-8b4b-46cc-a951-9d7ef29944ec,Pet_7117,12,Female,Medium,Adopted,2025-10-22,,Dog,Boxer,Happy Tails Shelter,SomeCity,SomeState,2025-12-31
e5e3da6d-8361-4c56-9b48-2aec991f0521,Pet_7519,5,Female,Small,Adopted,2025-12-14,,Cat,Ragdoll,Safe Haven Animal Shelter,SomeCity,SomeState,2025-12-31
fa061787-9701-4c97-95c8-c6aa4258e356,Pet_2601,5,Male,Small,Pending,2025-10-15,2025-12-20,Dog,Pomeranian,Paws & Claws Rescue,SomeCity,SomeState,2025-12-31
a86bc02f-50d7-44f6-81ef-fd86d69568c2,Pet_5075,11,Female,Medium,Adopted,2025-08-19,,Dog,Australian Shepherd,Safe Haven Animal Shelter,SomeCity,SomeState,2025-12-31
cd859cef-b81d-49fc-84e3-55fea009e8a0,Pet_5417,13,Female,Small,Available,2025-12-25,2026-02-20,Dog,Labrador Retriever,Safe Haven Animal Shelter,SomeCity,SomeState,2025-12-31
89591e13-c6a3-4eee-851b-5307db65316c,Pet_6197,3,Female,Medium,Pending,2025-08-17,2025-08-22,Dog,Australian Shepherd,Paws & Claws Rescue,SomeCity,SomeState,2025-12-31
34a22e12-7ff8-4f72-916a-5b0f96575681,Pet_6564,3,Male,Large,Adopted,2025-09-16,,Cat,British Shorthair,Paws & Claws Rescue,SomeCity,SomeState,2025-12-31
05d113bd-16f1-4ee2-b0db-9f742e333205,Pet_2728,8,Female,Small,Available,2025-12-14,,Cat,Devon Rex,Safe Haven Animal Shelter,SomeCity,SomeState,2025-12-31
46f1d0b2-3448-46d7-bbaf-0562cf2666bf,Pet_6778,8,Female,Large,Available,2025-09-13,,Cat,Persian,Furry Friends Rescue,SomeCity,SomeState,2025-12-31
38da2085-5f32-4b51-866e-3aa8d7a595bf,Pet_7490,1,Male,Medium,Adopted,2025-09-05,,Dog,Beagle,Forever Homes,SomeCity,SomeState,2025-12-31
fa7c3860-c39a-4a74-809b-68e7f7b2c809,Pet_2379,3,Female,Small,Adopted,2025-09-08,2025-11-30,Dog,Boxer,Safe Haven Animal Shelter,SomeCity,SomeState,2025-12-31
a7c982f4-1916-45dd-bbe8-aad34acd4034,Pet_2895,7,Female,Large,Pending,2025-11-17,,Dog,Shih Tzu,Furry Friends Rescue,SomeCity,SomeState,2025-12-31
