pet_id,name,age,gender,size,status,date_arrived,adopted_date,type,breed,shelter_name,city,state,snapshot_date
09fdbd57-70c3-4738-8ff1-a7baa9c5c846,Pet_4183,14,Female,Small,Adopted,2025-07-31,,Cat,Abyssinian,Furry Friends Rescue,SomeCity,SomeState,2025-12-31
9bf4a498-c704-46ea-bf19-7b79c9d0063a,Pet_4965,10,Male,Small,Pending,2025-10-05,,Dog,Australian Shepherd,Forever Homes,SomeCity,SomeState,2025-12-31
e6639798-9ea4-4e88-9389-1581164a451e,Pet_9695,15,Female,Small,Pending,2025-09-22,2025-12-02,Cat,Turkish Van,Paws & Claws Rescue,SomeCity,SomeState,2025-12-31
8b6992e3-d15d-4436-972b-ea9acc34e356,Pet_4397,8,Male,Small,Available,2025-10-27,,Cat,Siamese,Paws & Claws Rescue,SomeCity,SomeState,2025-12-31
11a80a56-f2b7-4c9e-aecc-c8eddd5f71ea,Pet_7382,10,Female,Medium,Pending,2025-12-14,,Dog,Pomeranian,Happy Tails Shelter,SomeCity,SomeState,2025-12-31
57043f68-98ee-42a4-8a5a-341dde474b81,Pet_8306,0,Female,Medium,Available,2025-12-06,2026-02-14,Dog,Poodle,Paws & Claws Rescue,SomeCity,SomeState,2025-12-31
f19d1c9c-2678-4c97-b82f-a09d60e38493,Pet_1882,10,Female,Small,Pending,2025-12-21,2026-01-26,Dog,Australian Shepherd,Forever Homes,SomeCity,SomeState,2025-12-31
e9c8a038-21bf-45ad-9e4c-8ee190686b4e,Pet_9779,1,Female,Medium,Pending,2025-09-26,2025-10-18,Dog,Shih Tzu,Forever Homes,SomeCity,SomeState,2025-12-31
4b9ab9d9-1c34-4299-b2e7-6dca64caf14b,Pet_2255,11,Male,Medium,Adopted,2025-11-21,,Dog,Boxer,Paws & Claws Rescue,SomeCity,SomeState,2025-12-31
039b0eb4-8c9b-4dd6-b081-52c80b137892,Pet_5212,10,Female,Small,Available,2025-12-31,,Dog,Pomeranian,Paws & Claws Rescue,SomeCity,SomeState,2025-12-31
7a8283b3-6584-4105-8b29-c30988ec8377,Pet_6519,13,Female,Medium,Pending,2025-11-15,,Dog,Mastiff,Safe Haven Animal Shelter,SomeCity,SomeState,2025-12-31
caa0c004-8df6-4ef3-9ffe-8837334539b3,Pet_7173,4,Female,Small,Available,2025-12-07,2026-02-12,Cat,Oriental Shorthair,Safe Haven Animal Shelter,SomeCity,SomeState,2025-12-31
1c1455c7-dae5-4e70-b083-a2f4ad92b151,Pet_8367,6,Female,Medium,Adopted,2025-10-05,2025-12-28,Dog,Bulldog,Safe Haven Animal Shelter,SomeCity,SomeState,2025-12-31
32ca0828-674e-4555-a97b-ff3e64dc0573,Pet_4175,3,Male,Small,Available,2025-10-18,2026-01-08,Cat,Russian Blue,Forever Homes,SomeCity,SomeState,2025-12-31
576d570b-b3db-4c7f-bd92-5c99791790f8,Pet_7243,10,Male,Medium,Pending,2025-09-26,,Cat,Sphynx,Furry Friends Rescue,SomeCity,SomeState,2025-12-31
a157078c-fa71-495d-ae9e-65684589d77f,Pet_2410,9,Male,Large,Pending,2025-09-19,,Cat,Devon Rex,Forever Homes,SomeCity,SomeState,2025-12-31
